Hg,Hi,Hm,Hp,He,Ib-FDTD,Ir-FDTD,It-FDTD,Ib-CPN,Ir-CPN,It-CPN
10,40,230,30,30,16.7414,6.9613,18.196,16.5605,7.0386,17.8819
100,60,250,25,20,17.4892,6.2772,17.2549,17.7033,5.9596,17.4222
70,40,250,30,35,16.5312,6.2853,17.6834,16.5911,6.2355,17.933
60,20,250,25,15,17.509,5.3039,18.7036,17.5773,5.3478,18.7276
40,40,250,30,30,16.6377,6.4396,18.9102,16.5725,6.5002,18.6617
100,40,250,30,15,17.8224,5.7602,17.4707,17.8978,5.603,17.7147
60,60,250,20,15,17.8575,5.585,18.4198,17.8101,5.6816,18.4777
60,30,160,35,25,18.733,6.8847,14.8284,18.6155,6.7822,14.9872
70,30,250,30,20,17.5243,5.5291,17.4994,17.5963,5.4153,17.7804
70,20,250,30,15,17.656,5.294,18.1516,17.7202,5.3773,18.2592
60,40,250,20,15,17.7327,5.2076,18.9928,17.6701,5.294,19.0828
90,40,160,15,25,18.9686,6.6644,16.8953,18.7997,6.7576,17.1396
60,50,160,20,25,18.645,7.2088,16.1143,18.4158,7.2044,16.4448
50,20,250,30,15,17.3836,5.5278,18.15,17.5037,5.5985,18.1284
30,40,250,25,25,16.8171,6.3685,20.0177,16.8369,6.419,19.684
70,50,250,30,15,17.8566,5.7703,17.4074,17.9065,5.4885,17.5785
100,30,180,35,25,18.614,6.1304,15.6912,18.7297,6.1778,16.0387
70,60,250,20,15,17.8921,5.5387,18.4153,17.9175,5.5265,18.5383
100,50,160,35,30,18.0229,7.441,14.4013,18.1996,7.3683,14.7309
100,50,250,25,20,17.5731,6.0291,17.4675,17.6653,5.6935,17.6335
100,20,160,35,25,18.9887,6.713,14.9208,18.7628,6.5951,15.0976
80,50,250,25,35,16.6094,6.2513,17.9924,16.6216,6.2584,18.2176
10,60,250,35,30,16.4997,7.6093,17.573,16.6956,7.2985,17.6045
100,60,250,30,15,17.6722,6.1554,17.1021,17.8428,5.9202,17.2971
60,20,250,15,20,17.2496,5.447,19.3949,17.3386,5.3459,19.4953
70,20,250,25,15,17.6433,5.2207,18.6752,17.7024,5.2684,18.7728
80,30,160,35,20,19.0973,6.7331,15.3031,18.913,6.7514,15.0992
60,40,160,30,25,18.6661,7.2523,15.202,18.4898,7.0318,15.285
60,50,170,30,15,18.8429,6.8126,15.0366,18.6422,6.8037,15.3101
80,20,250,25,20,17.5141,5.5361,18.1858,17.564,5.3925,18.3504
100,60,250,15,15,17.8063,5.6228,18.939,17.9109,5.4362,19.1179
100,60,160,25,25,18.2513,7.5201,15.5663,18.3497,7.2796,15.8673
70,20,250,30,35,16.3384,6.1173,18.1156,16.5074,6.2261,18.3209
10,20,220,35,35,16.4901,7.4625,17.2532,16.372,7.2761,17.0447
