Hg,Hi,Hm,Hp,He,Ib,Ir,It,|Ka|
30 ,20 ,180 ,15 ,25 ,17.8226 ,7.8198 ,17.1261 ,0.6966 
40 ,20 ,180 ,15 ,25 ,18.0774 ,7.2489 ,17.3994 ,0.6780 
50 ,20 ,180 ,15 ,25 ,18.3215 ,6.7500 ,17.6261 ,0.6954 
60 ,20 ,180 ,15 ,25 ,18.5379 ,6.3693 ,17.7798 ,0.7581 
70 ,20 ,180 ,15 ,25 ,18.7205 ,6.1170 ,17.8556 ,0.8649 
80 ,20 ,180 ,15 ,25 ,18.8577 ,6.0008 ,17.8542 ,1.0035 
90 ,20 ,180 ,15 ,25 ,18.9443 ,6.0198 ,17.7791 ,1.1652 
10 ,20 ,190 ,15 ,25 ,17.2323 ,8.9116 ,18.1041 ,0.8718 
100 ,20 ,190 ,15 ,25 ,18.8377 ,6.1143 ,19.2073 ,0.3696 
20 ,20 ,190 ,15 ,25 ,17.4652 ,8.2705 ,18.4709 ,1.0057 
30 ,20 ,190 ,15 ,25 ,17.7074 ,7.6510 ,18.8114 ,1.1039 
40 ,20 ,190 ,15 ,25 ,17.9545 ,7.0730 ,19.1116 ,1.1571 
50 ,20 ,190 ,15 ,25 ,18.1879 ,6.5946 ,19.3359 ,1.1480 
60 ,20 ,190 ,15 ,25 ,18.4016 ,6.2301 ,19.4767 ,1.0751 
70 ,20 ,190 ,15 ,25 ,18.5802 ,6.0021 ,19.5271 ,0.9470 
80 ,20 ,190 ,15 ,25 ,18.7170 ,5.9146 ,19.4884 ,0.7713 
90 ,20 ,190 ,15 ,25 ,18.8039 ,5.9540 ,19.3792 ,0.5753 
10 ,20 ,200 ,15 ,25 ,17.2974 ,8.4516 ,17.2115 ,0.0859 
100 ,20 ,200 ,15 ,25 ,18.6663 ,5.8343 ,18.3161 ,0.3503 
20 ,20 ,200 ,15 ,25 ,17.3638 ,7.9737 ,17.5259 ,0.1621 
30 ,20 ,200 ,15 ,25 ,17.5880 ,7.3504 ,17.8707 ,0.2826 
40 ,20 ,200 ,15 ,25 ,17.8147 ,6.7830 ,18.1692 ,0.3546 
50 ,20 ,200 ,15 ,25 ,18.0370 ,6.2920 ,18.4089 ,0.3719 
60 ,20 ,200 ,15 ,25 ,18.2379 ,5.9260 ,18.5621 ,0.3241 
70 ,20 ,200 ,15 ,25 ,18.4112 ,5.6967 ,18.6235 ,0.2123 
80 ,20 ,200 ,15 ,25 ,18.5431 ,5.6111 ,18.5960 ,0.0529 
90 ,20 ,200 ,15 ,25 ,18.6297 ,5.6674 ,18.4839 ,0.1458 
10 ,20 ,210 ,15 ,25 ,16.9759 ,8.5351 ,18.7932 ,1.8173 
100 ,20 ,210 ,15 ,25 ,18.4634 ,5.9602 ,19.7902 ,1.3268 
20 ,20 ,210 ,15 ,25 ,17.1801 ,7.8966 ,19.1889 ,2.0088 
30 ,20 ,210 ,15 ,25 ,17.3975 ,7.2830 ,19.5494 ,2.1519 
40 ,20 ,210 ,15 ,25 ,17.6240 ,6.7164 ,19.8596 ,2.2357 
50 ,20 ,210 ,15 ,25 ,17.8404 ,6.2562 ,20.0823 ,2.2420 
60 ,20 ,210 ,15 ,25 ,18.0408 ,5.9182 ,20.2092 ,2.1684 
70 ,20 ,210 ,15 ,25 ,18.2090 ,5.7239 ,20.2346 ,2.0256 
80 ,20 ,210 ,15 ,25 ,18.3403 ,5.6762 ,20.1603 ,1.8200 
90 ,20 ,210 ,15 ,25 ,18.4257 ,5.7579 ,20.0090 ,1.5833 
10 ,20 ,220 ,15 ,25 ,16.9649 ,8.0767 ,17.9792 ,1.0143 
100 ,20 ,220 ,15 ,25 ,18.2270 ,5.7381 ,18.9154 ,0.6884 
20 ,20 ,220 ,15 ,25 ,17.0319 ,7.5910 ,18.3010 ,1.2691 
30 ,20 ,220 ,15 ,25 ,17.2345 ,6.9839 ,18.6527 ,1.4183 
40 ,20 ,220 ,15 ,25 ,17.4391 ,6.4407 ,18.9492 ,1.5100 
50 ,20 ,220 ,15 ,25 ,17.6414 ,5.9823 ,19.1769 ,1.5355 
60 ,20 ,220 ,15 ,25 ,17.8244 ,5.6555 ,19.3090 ,1.4845 
70 ,20 ,220 ,15 ,25 ,17.9830 ,5.4705 ,19.3403 ,1.3573 
80 ,20 ,220 ,15 ,25 ,18.1054 ,5.4308 ,19.2767 ,1.1713 
90 ,20 ,220 ,15 ,25 ,18.1884 ,5.5318 ,19.1240 ,0.9356 
10 ,20 ,230 ,15 ,25 ,16.6246 ,8.1665 ,19.5964 ,2.9718 
100 ,20 ,230 ,15 ,25 ,17.9538 ,5.9503 ,20.4044 ,2.4506 
20 ,20 ,230 ,15 ,25 ,16.8025 ,7.5532 ,19.9955 ,3.1930 
30 ,20 ,230 ,15 ,25 ,16.9925 ,6.9729 ,20.3524 ,3.3599 
40 ,20 ,230 ,15 ,25 ,17.1908 ,6.4472 ,20.6515 ,3.4608 
50 ,20 ,230 ,15 ,25 ,17.3813 ,6.0331 ,20.8560 ,3.4748 
60 ,20 ,230 ,15 ,25 ,17.5593 ,5.7442 ,20.9574 ,3.3981 
70 ,20 ,230 ,15 ,25 ,17.7105 ,5.5984 ,20.9524 ,3.2419 
80 ,20 ,230 ,15 ,25 ,17.8317 ,5.5963 ,20.8433 ,3.0116 
90 ,20 ,230 ,15 ,25 ,17.9133 ,5.7171 ,20.6569 ,2.7436 
10 ,20 ,240 ,15 ,25 ,16.5192 ,7.7771 ,18.7801 ,2.2609 
100 ,20 ,240 ,15 ,25 ,17.6622 ,5.7565 ,19.5322 ,1.8700 
20 ,20 ,240 ,15 ,25 ,16.5937 ,7.2915 ,19.0940 ,2.5003 
